NIFTY 500,NIFTY NEXT 50,NIFTY 50,Unnamed: 3,Lookup Symbol,Index
COHANCE,,,,,
TEGA,,,,,
ONESOURCE,,,,,
LINDEINDIA,,,,,
SCHAEFFLER,,,,,
IOB,,,,,
CANFINHOME,,,,,
CIEINDIA,,,,,
AAVAS,,,,,
SARDAEN,,,,,
TTML,,,,,
EMCURE,,,,,
SAPPHIRE,,,,,
ASAHIINDIA,,,,,
MEDANTA,,,,,
SBFC,,,,,
EIHOTEL,,,,,
ABLBL,,,,,
BBTC,,,,,
INDGN,,,,,
SPLPETRO,,,,,
GALLANTT,,,,,
RAMCOCEM,,,,,
TRAVELFOOD,,,,,
BLUEDART,,,,,
BIKAJI,,,,,
DCMSHRIRAM,,,,,
